Dive Time (s),Depth (m),PPO2 - Setpoint (Bar),PPO2 - C1 Cell 1 (Bar),PPO2 - C1 Cell 2 (Bar),PPO2 - C1 Cell 3 (Bar),PPO2 - C1 Measured (Bar),PPO2 - C2 Cell 1 (Bar),PPO2 - C2 Cell 2 (Bar),PPO2 - C2 Cell 3 (Bar),PPO2 - C2 Measured (Bar),C1 Battery 1 (Volts),C1 Battery 2 (Volts),C2 Battery 1 (Volts),C2 Battery 2 (Volts),Ambient Temp. (Celsius),OTU Exposure (%),CNS Exposure (%),Deco Ceiling (m),Gradient Factor
0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.00,0,0,0,0
60,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00,0,0,0,0
120,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00,0,0,0,0
180,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00,0,0,0,0
240,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00,0,0,0,0
300,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00,0,0,0,0
360,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,17.00,0,0,0,0
420,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.00,0,0,0,0
480,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.00,0,0,0,0
540,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,16.00,0,0,0,0
600,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,16.00,0,0,0,0
660,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,16.00,0,0,0,0
720,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,16.00,0,0,0,0
780,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.00,0,0,0,0
840,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.00,0,0,0,0
900,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.00,0,0,0,0
960,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,15.00,0,0,0,0
1020,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.00,0,0,0,0
1080,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,15.00,0,0,0,0
1140,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.00,0,0,0,0
1200,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,17.00,0,0,0,0
1260,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00,0,0,0,0
1320,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00,0,0,0,0
1380,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00,0,0,0,0
1440,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00,0,0,0,0
1460,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.00,0,0,0,0
